학정번호,과목명,분반,이수,학점,시수,교수,요일,시간,요일,시간,비고
W3A1C2,융합적사고와글쓰기,소프트웨어융합대학 공통 (C1~C9),교필,3,3,전도현,월,1,수,2,
W3A2C1,융합적사고와글쓰기,,교필,3,3,전도현,월,2,수,1,
W3A5C6,융합적사고와글쓰기,,교필,3,3,정재훈,월,5,수,6,
W3A6C5,융합적사고와글쓰기,,교필,3,3,정재훈,월,6,수,5,
W3B2D1,융합적사고와글쓰기,,교필,3,3,김광섭,화,2,목,1,
W3B6D5,융합적사고와글쓰기,,교필,3,3,김영건,화,6,목,5,
W3B5D6,융합적사고와글쓰기,,교필,3,3,김영건,화,5,목,6,
W3E1E2,융합적사고와글쓰기,,교필,3,3,전형철,금,1,금,2,
W3E3E4,융합적사고와글쓰기,,교필,3,3,전형철,금,3,금,4,
W3C5C6E4,대학물리및실험1,C1~C6,기필,3,4,김진배,수,5.6,금,4,
W3B3B4D4,대학물리및실험1,,기필,3,4,백구연,화,3.4,목,4,
W3B4D3D4,대학물리및실험1,,기필,3,4,구제환,화,4,목,3.4,
W3B3B4D4,대학화학및실험1,C1~C6,기필,3,4,최한,화,3.4,목,4,영어50
W3B5B6D6,대학화학및실험1,,기필,3,4,장홍제,화,5.6,목,6,영어50
W3A2C1,대학수학및연습1,C1~C9,기필,3,3,연윤정,월,2,수,1,
W3A3C4,대학수학및연습1,,기필,3,3,최현옥,월,3,수,4,
W3A6C5,대학수학및연습1,,기필,3,3,권윤기,월,6,수,5,
W3B1D2,대학수학및연습1,,기필,3,3,박주희,화,1,목,2,
W3E1E2,대학수학및연습1,,기필,3,3,박정준,금,1,금,2,
W3E5E6,대학수학및연습1,,기필,3,3,유다혜,금,5,금,6,
W3E5E6,기초수학및연습,소융대 1학년만 수강가능,기선,3,3,최종성,금,5,금,6,공대 합반
W3A2C1,발명고안디자인,전정대.공대와 합반,기선,3,3,박수원,월,2,수,1,
