학정번호,과목명,분반,이수,학점,시수,교수,요일,시간,요일,시간,
Y1D6D7,진로탐색및설계,타과생(다전공생) 신청불가,전선,1,2,정한조,목,6,목,7,
Y3B5D6,컴퓨터그래픽디자인,,전선,3,3,김미화,화,5,목,6,
X3E1E2,객체지향프로그래밍,,전필,3,3,한진섭,금,1,금,2,
X3B2D1,오픈소스소프트웨어,,전필,3,3,서두옥,화,2,목,1,온라인70
Y1A6A7,객체지향프로그래밍실습,,전선,1,2,한진섭,월,6,월,7,
Y1C6C7,객체지향프로그래밍실습,,전선,1,2,한진섭,수,6,수,7,
Y2B7B8B9,오픈소스소프트웨어실습,,전선,2,3,서두옥,화,789,,,
Y2D7D8D9,오픈소스소프트웨어실습,,전선,2,3,서두옥,목,789,,,
Y3A1C2,데이터사이언스개론,,전선,3,3,강사(미정),월,1,수,2,영어50
Y3A3C4,인터랙티브미디어개론,,전선,3,3,김현경,월,3,수,4,영어50
Y3B3D4,기초디자인과드로잉,,전선,3,3,김미화,화,3,목,4,
Y3B1D2,통계학응용,,전선,3,3,박재성,화,1,목,2,영어50
