학정번호,과목명,분반,이수,학점,시수,교수,요일,시간,요일,시간,
W3A6C5,선형대수학,,기선,3,3,박철수,월,6,수,5,영어50
W3A5C6,선형대수학,,기선,3,3,김상목,월,5,수,6,영어60
X3A5C6,디지털논리회로1,,전필,3,3,공진흥,월,5,수,6,영어50
X3B5D6,디지털논리회로1,,전필,3,3,이준환,화,5,목,6,영어50.온라인50
Y3B6D5,회로이론,,전선,3,3,이준환,화,6,목,5,영어50.온라인50
Y3E3E4,회로이론,,전선,3,3,황호영,금,3,금,4,영어50
Y2A1A2,컴퓨터공학기초실험1,,전선,2,4,이준환,월,1,월,2,
Y2C1C2,컴퓨터공학기초실험1,,전선,2,4,공진흥,수,1,수,2,
Y2E1E2,컴퓨터공학기초실험1,,전선,2,4,이형근,금,1,금,2,
X3A3C4,객체지향프로그래밍설계,,전필,3,3,신영주,월,3,수,4,영어50.온라인50
X3A1C2,객체지향프로그래밍설계,,전필,3,3,신영주,월,1,수,2,영어50.온라인50
Y1B1B2,객체지향프로그래밍실습,,전선,1,2,박철수,화,1,화,2,
Y1D1D2,객체지향프로그래밍실습,,전선,1,2,이형근,목,1,목,2,
Y1D3D4,객체지향프로그래밍실습,,전선,1,2,신영주,목,3,목,4,
